Date,Singapore ETF,Malaysia ETF,Philippines ETF,Vietnam ETF,CapitaLand Integ. Comm. Trust,Ascendas REIT,DBS Group,Maybank,BCA
2016-10-13,14.03117847442627,22.027565002441406,31.714740753173828,13.08314037322998,1.3243592977523804,1.4637200832366943,8.643370628356934,4.313785552978516,2567.984375
2016-10-14,14.017675399780273,21.917152404785156,31.616127014160156,13.109695434570312,1.3243592977523804,1.4517223834991455,8.643370628356934,4.302478313446045,2626.15771484375
2016-10-17,14.058189392089844,21.80673599243164,31.65199089050293,12.941508293151855,1.3243592977523804,1.4517223834991455,8.626120567321777,4.296823978424072,2642.779296875
2016-10-18,14.139216423034668,22.137983322143555,32.82627487182617,13.056583404541016,1.3180829286575317,1.4637200832366943,8.660627365112305,4.359015464782715,2667.711181640625
2016-10-19,14.193231582641602,22.2759952545166,33.6599235534668,13.198214530944824,1.3369128704071045,1.4577213525772095,8.672126770019531,4.353361129760742,2655.24462890625
2016-10-20,14.125709533691406,22.16558265686035,33.30137252807617,13.14510440826416,1.3306357860565186,1.4577213525772095,8.683627128601074,4.296823978424072,2617.847412109375
2016-10-21,14.071691513061523,22.220792770385742,33.1400146484375,13.056583404541016,1.3243592977523804,1.4397246837615967,8.643370628356934,4.347707748413086,2626.15771484375
2016-10-24,14.193231582641602,22.35881233215332,32.906951904296875,12.87069320678711,1.3494658470153809,1.4637200832366943,8.69512939453125,4.3703227043151855,2605.381591796875
2016-10-25,14.179727554321289,22.35881233215332,32.763526916503906,12.773323059082031,1.3494658470153809,1.4637200832366943,8.660627365112305,4.46643590927124,2576.294921875
2016-10-26,14.044683456420898,22.33119773864746,32.270511627197266,12.7379150390625,1.3369128704071045,1.453202724456787,8.597368240356445,4.477743148803711,2576.294921875
2016-10-27,14.004167556762695,21.999961853027344,31.92987060546875,12.861841201782227,1.3291083574295044,1.4471474885940552,8.597368240356445,4.404245376586914,2580.44921875
2016-10-28,13.923141479492188,21.97235679626465,31.57131576538086,12.85299015045166,1.3227488994598389,1.441092848777771,8.56861400604248,4.426860809326172,2592.916015625
2016-10-31,13.97716236114502,22.027565002441406,31.687841415405273,12.684803009033203,1.316389560699463,1.4350370168685913,8.626120567321777,4.46643590927124,2580.44921875
2016-11-01,13.909637451171875,21.999961853027344,31.562347412109375,12.552024841308594,1.3100301027297974,1.4350370168685913,8.620369911193848,4.443820476531982,2567.984375
